residence	username	birthdate	imei	name	ssn	registration	address	company	user_id	mail	current_location
	benjaminlinda		359043379931766536	Barry Clay	380-33-1115	2022/11/01	"836 Johnson Throughway
Port Ritaborough, AR 37029"	Montgomery Group	322	jamesrichard@hotmail.com	(Decimal('29.2545215'), Decimal('56.881839'))
	emilyanderson		3590433799317662154	Justin Clark	244-95-2123	2023/11/28	"84743 Anna Vista
East Jaredborough, MT 07310"	Williams-Smith	1634	steve96@hotmail.com	(Decimal('-73.8245355'), Decimal('-147.436751'))
	vfriedman		3590433799317662162	Kimberly Atkinson	052-18-1099	11 Apr 2020	"USNV Carrillo
FPO AA 27278"	Khan, Dodson and Frank	1538	robert85@yahoo.com	(Decimal('10.6039875'), Decimal('-82.963400'))
	utaylor	1985-11-17	3590433799317661347	David Robinson	035-28-4630	01 Aug 2019	"297 Berry Creek Suite 292
Christophershire, MP 27302"	Klein-Lopez	1661	emmamatthews@gmail.com	(Decimal('-71.951311'), Decimal('-90.881496'))
	xpierce	2018-11-04	359043379931766064	Victoria Nguyen	754-23-6927	03/02/2022, 00:00:00	"164 Osborne Oval Suite 980
Ashleyville, CO 24401"	Tran LLC	1676	ginamartin@yahoo.com	(Decimal('0.3168465'), Decimal('-24.514492'))
"USCGC Elliott
FPO AP 61229"	amysmith	1908-12-04	3590433799317661917	Samantha Rowland	623-18-5650	2021/08/04	"97813 Karen Island Apt. 176
Zacharystad, VA 61641"	Davis, Anderson and Miles	293	silvachristopher@yahoo.com	(Decimal('-2.7214715'), Decimal('-9.571696'))
	comptonsandy		8630330696303481131	Dana Ruiz	097-19-8248	02/10/2022, 00:00:00	"18778 Jennifer Mount Apt. 615
New Rebecca, AK 70331"	Morgan-Baker	932	xpayne@yahoo.com	(Decimal('74.727718'), Decimal('8.766888'))
"23169 Dave Ville Apt. 888
Martinchester, IA 19413"	ykelly	1961-06-17	863033069630348354	Charles Cunningham	498-97-9110	25 Feb 2024	"8630 Fernandez Centers Apt. 925
Maldonadoberg, MN 21111"	Wright Ltd	1578	broman@yahoo.com	(Decimal('-53.0077815'), Decimal('-103.548441'))
	cholt		863033069630348727	Jessica Wilson	057-36-2658	22 Jun 2022		Mitchell, Ryan and Miller	1581	scott44@gmail.com	(Decimal('-66.2083105'), Decimal('90.314053'))
	cassie86		359043379931766452	Derek Dominguez	339-65-4230	2024-05-16	"024 Corey Spring Apt. 016
Smithshire, ND 86498"	Miller-Long	2382	rebeccabarton@hotmail.com	(Decimal('16.961181'), Decimal('-73.187810'))
	douglas36	1974-02-06	3590433799317662279	William Hernandez	888-94-1962	2020/03/20	"168 Miller Freeway Suite 963
New Sarahmouth, GA 71104"	Snyder, Curtis and Li	1078	lmiller@hotmail.com	(Decimal('28.567097'), Decimal('34.462219'))
	thompsonmonica	1946-02-21	8630330696303482170	James Patterson	860-65-5055	2022-07-31	"8234 Richard Shoal Apt. 552
West Dawnside, TX 22858"	Morgan-Brown	525	arthurhughes@yahoo.com	(Decimal('86.625359'), Decimal('-10.459590'))
	michael53		3590433799317662485	Kristen Campos	708-38-9663	10/13/2023, 00:00:00	"7229 Stephens Plain Suite 810
Smithshire, NJ 84119"	Miller LLC	78	meltonmegan@gmail.com	(Decimal('-59.333140'), Decimal('-28.480392'))
	katelyn11	2022-02-24	359043379931766122	Emily Shields	814-95-0397	2023-02-13	"272 Edwards Fields
Clarkland, SD 03424"	Doyle-Huber	103	elizabeth18@gmail.com	(Decimal('44.8575685'), Decimal('-119.171511'))
	robertgarcia	1956-05-29	863033069630348867	Kimberly Sanders	134-76-7475	05/15/2020, 00:00:00	"27971 Callahan Summit Suite 989
Amychester, MD 45558"	Mosley-English	1020	elizabeth30@hotmail.com	(Decimal('53.2623195'), Decimal('103.367308'))
"73339 Lang Forge
South Benjamin, AL 02332"	mahoneymatthew	1926-02-08	8630330696303482378	Matthew Green	291-70-9216	15 Apr 2022	"12550 Kenneth Oval
East Stephanie, AZ 88076"	Oliver-Kennedy	1031	matthew63@gmail.com	(Decimal('89.671048'), Decimal('-75.573773'))
"9412 Curtis Stream Apt. 603
Bullocktown, IA 12854"	robert09	2014-09-24	359043379931766882	Amber Rhodes	605-17-0369	2021-12-09	"586 Villanueva Junction
Hernandezchester, UT 36510"	Bonilla-Martin	1335	lsmith@yahoo.com	
	adunn	1930-03-25	3590433799317661693	Christopher Williams	648-11-7579	2017-10-15		Clark-Watson	635	gambleangela@gmail.com	(Decimal('-7.7288355'), Decimal('122.370104'))
	whiteanthony	1931-10-05	359043379931766601	Michael Perez	368-04-1050	03/02/2019, 00:00:00	"Unit 0308 Box 4095
DPO AP 81972"	Pearson Inc	1339	farmermary@gmail.com	(Decimal('16.579733'), Decimal('-176.469617'))
	brettward	2012-07-28	8630330696303481057	Shane Thompson	795-50-2905	2022/05/13		Wells-Jones	1562	joel73@yahoo.com	(Decimal('-14.598530'), Decimal('-115.332352'))
	baileybrandy		8630330696303481545	Ronald Deleon	819-52-9758	2020/11/05		Hensley-Sutton	1619	brittney66@yahoo.com	(Decimal('-15.1238865'), Decimal('-146.853880'))
	sullivanjohn	1960-11-03	863033069630348115	John Martin	376-10-8706	2018-07-21	"3248 Bradshaw Glens Apt. 134
Lake Chad, WA 99123"	Phillips, Murphy and Gonzales	303	briana73@yahoo.com	(Decimal('69.4162895'), Decimal('-122.567673'))
"263 Hinton Fall
North Christopherside, CO 63126"	thompsonmackenzie	2007-07-07	8630330696303481313	Heather Lindsey	187-99-0617	17 Nov 2019	"9124 Tracey Summit Suite 122
North Randyfurt, RI 76232"	Moore, Gonzales and Andrews	1460	aguirrejoshua@hotmail.com	(Decimal('-53.0435015'), Decimal('177.489723'))
	pmiller	1927-09-03	3590433799317661578	Gary Barrett	190-93-7237	2021-11-12		Christensen-Johnson	15	zmarquez@hotmail.com	(Decimal('-87.623736'), Decimal('-35.667755'))
	donna12	1979-03-27	8630330696303481065	Paige Atkinson	510-65-2919	2020-11-30	"Unit 5746 Box 7028
DPO AP 87985"	Vargas-White	1348	amber40@gmail.com	(Decimal('-73.0303195'), Decimal('156.891038'))
