residence,username,imei,name,ssn,registration,address,company,user_id,mail,latitude,longitude,domain
"836 Johnson Throughway Port Ritaborough, AR 37029",benjaminlinda,359043379931766536,Barry Clay,380-33-1115,11/01/2022,"836 Johnson Throughway Port Ritaborough, AR 37029",Montgomery Group,322,jamesrichard@hotmail.com,29.2545215,56.881839,hotmail.com
"84743 Anna Vista East Jaredborough, MT 07310",emilyanderson,3590433799317662154,Justin Clark,244-95-2123,11/28/2023,"84743 Anna Vista East Jaredborough, MT 07310",Williams-Smith,1634,steve96@hotmail.com,-73.8245355,-147.436751,hotmail.com
USNV Carrillo FPO AA 27278,vfriedman,3590433799317662162,Kimberly Atkinson,052-18-1099,04/11/2020,USNV Carrillo FPO AA 27278,"Khan, Dodson and Frank",1538,robert85@yahoo.com,10.6039875,-82.9634,yahoo.com
"297 Berry Creek Suite 292 Christophershire, MP 27302",utaylor,3590433799317661347,David Robinson,035-28-4630,08/01/2019,"297 Berry Creek Suite 292 Christophershire, MP 27302",Klein-Lopez,1661,emmamatthews@gmail.com,-71.951311,-90.881496,gmail.com
"164 Osborne Oval Suite 980 Ashleyville, CO 24401",xpierce,359043379931766064,Victoria Nguyen,754-23-6927,03/02/2022,"164 Osborne Oval Suite 980 Ashleyville, CO 24401",Tran LLC,1676,ginamartin@yahoo.com,0.3168465,-24.514492,yahoo.com
USCGC Elliott FPO AP 61229,amysmith,3590433799317661917,Samantha Rowland,623-18-5650,08/04/2021,"97813 Karen Island Apt. 176 Zacharystad, VA 61641","Davis, Anderson and Miles",293,silvachristopher@yahoo.com,-2.7214715,-9.571696,yahoo.com
"18778 Jennifer Mount Apt. 615 New Rebecca, AK 70331",comptonsandy,8630330696303481131,Dana Ruiz,097-19-8248,02/10/2022,"18778 Jennifer Mount Apt. 615 New Rebecca, AK 70331",Morgan-Baker,932,xpayne@yahoo.com,74.727718,8.766888,yahoo.com
"23169 Dave Ville Apt. 888 Martinchester, IA 19413",ykelly,863033069630348354,Charles Cunningham,498-97-9110,02/25/2024,"8630 Fernandez Centers Apt. 925 Maldonadoberg, MN 21111",Wright Ltd,1578,broman@yahoo.com,-53.0077815,-103.548441,yahoo.com
Unknown,cholt,863033069630348727,Jessica Wilson,057-36-2658,06/22/2022,Unknown,"Mitchell, Ryan and Miller",1581,scott44@gmail.com,-66.2083105,90.314053,gmail.com
"024 Corey Spring Apt. 016 Smithshire, ND 86498",cassie86,359043379931766452,Derek Dominguez,339-65-4230,05/16/2024,"024 Corey Spring Apt. 016 Smithshire, ND 86498",Miller-Long,2382,rebeccabarton@hotmail.com,16.961181,-73.18781,hotmail.com
